shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2,37.14829805559851,-3.618934941122143,20030
2,37.14823755902439,-3.618850264026997,20031
2,37.14809803171243,-3.618730980925611,20032
2,37.14659813206533,-3.617689713190066,20033
2,37.14556411381373,-3.616938472928197,20034
2,37.14543378306802,-3.616827828357901,20035
2,37.14534130889282,-3.616708993190505,20036
2,37.14529742769611,-3.616627387027029,20037
2,37.14521709723892,-3.616462234165322,20038
2,37.14491514124686,-3.61586381803904,20039
2,37.14463957413848,-3.615272014863465,20040
2,37.14450783193949,-3.615013425981148,20041
2,37.14438930545408,-3.614814097494332,20042
2,37.14427966981889,-3.614646222036627,20043
2,37.14412017234417,-3.614332225729612,20044
2,37.14387053195976,-3.613794328472936,20045
2,37.14380735137309,-3.61367491625734,20046
2,37.14373770784943,-3.613515180465826,20047
2,37.14370581960792,-3.613267808801104,20048
2,37.14371401370133,-3.613086998271935,20049
2,37.14373814433944,-3.612958857296005,20050
2,37.14378392373978,-3.612825456013774,20051
2,37.14384943916328,-3.612696437971554,20052
2,37.14399353669646,-3.61251519711653,20053
2,37.14413291820971,-3.61233637223164,20054
2,37.14454297800466,-3.611790197217105,20055
2,37.1450964584499,-3.611076675382439,20056
2,37.14528156006488,-3.61078256932565,20057
2,37.14536736287319,-3.610538493300879,20058
2,37.14544543552158,-3.610291085751022,20059
2,37.14555035246876,-3.609904360081584,20060
2,37.14575462532743,-3.60919218216995,20061
2,37.1457974278575,-3.609081635860404,20062
2,37.14588974068212,-3.608932442082692,20063
2,37.14596611029078,-3.608842402799263,20064
2,37.14604936189689,-3.608768817944903,20065
2,37.14619703837791,-3.608680872492732,20066
2,37.14643408290169,-3.608539583026746,20067
2,37.14678938426773,-3.608332902043308,20068
2,37.14695153707211,-3.608224341792818,20069
2,37.1472063068872,-3.608025899313849,20070
2,37.14739435838161,-3.607829429670195,20071
2,37.14782127464508,-3.607405240080621,20072
2,37.14804211234442,-3.607228012356225,20073
2,37.14814470512032,-3.607168127985193,20074
2,37.14824913868716,-3.607136904560387,20075
2,37.14901572985751,-3.606912399754202,20076
2,37.1492089655001,-3.606858772499835,20077
2,37.14930938804812,-3.606822791214573,20078
2,37.14937221938001,-3.606778705227742,20079
2,37.14943333279921,-3.606691688445702,20080
2,37.14948550793565,-3.606629643797024,20081
2,37.14951631521014,-3.60653504938547,20082
2,37.1495337950342,-3.606439448223423,20083
2,37.14951916008454,-3.606347157948821,20084
2,37.1495052640248,-3.60625877101301,20085
2,37.14946807234202,-3.606079752068422,20086
2,37.14938715183313,-3.605699878759743,20087
