stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
e7681666-25c7-4d36-9769-b0279140ae45,126,DUDAR 2,,37.186258,-3.4837012,,,0,,,2,
d19a1e89-4a10-4be3-8cf9-702c1430b1dc,127,Calle Quentar 15 I,,37.1929203,-3.470494,,,0,,,2,
1904f3a2-fa9a-4e37-9f3c-f21a4b5f2829,129,Avda. Madrid Fte 31,,37.1908713,-3.6069944,,,0,,,2,
400446b3-9e5c-4e55-a9a2-c166ca137631,136,Avda. Santa María Alhambra - Hospital,,37.1641583,-3.5724448,,,0,,,2,
ae42d7f9-172a-45ed-a620-33f943d26019,137,Avda. Santa María Alhambra - Cno. Nuevo Cementerio,,37.1685949,-3.5827749,,,0,,,2,
743eed54-331b-455b-9dac-67751a88cce1,138,Avda. Santa María Alhambra - Secanillo Alto,,37.1695958,-3.5819274,,,0,,,2,
7f657609-708b-4e62-957a-f64b87a7c5b0,139,Avda. Santa María Alhambra - Cno. Nuevo Cementerio,,37.1685102,-3.5827624,,,0,,,2,
6c8a85d9-0716-4d44-b4d3-629dab6cd43d,140,Avda. Santa María Alhambra - Carmen de los Fosos,,37.1698822,-3.5818416,,,0,,,2,
155a0c6c-01cc-4b3f-ba69-8363dd149602,143,Ancha de Capuchinos 15,,37.1860999,-3.6029844,,,0,,,2,
e6cb333c-718a-4d9a-b1f7-7bd21b40ecac,144,Ancha de Capuchinos - Jardines del Triunfo,,37.1841255,-3.6012089,,,0,,,2,
5fd9e409-b0c3-4b30-9ad8-272458f390b4,145,Andrés Segovia 35,,37.1631894,-3.5945141,,,0,,,2,
2c21d67a-cc5a-4151-a798-fa500dc85fb7,146,Arabial 4,,37.16609,-3.6049351,,,0,,,2,
ed4c6549-b744-422e-b31f-0f9e76072f7c,148,Arabial 22,,37.1687377,-3.6065382,,,0,,,2,
718d6549-9e78-4ebf-b034-a82c05898d7e,152,Pedro Machuca 33,,37.210063,-3.6099217,,,0,,,2,
c37c3435-79ac-45c4-9c91-33aaa48a8945,153,Cno. Nuevo del Cementerio 73,,37.1691737,-3.5833732,,,0,,,2,
400ea74c-4408-4955-8139-f82783af5512,161,Avda. Andalucía 38 - IES Virgen de las Nieves,,37.1911185,-3.6178476,,,0,,,2,
fd4fe1a8-9e1c-44ff-91a4-4d29a2bc497d,162,Avda. Andalucía - Fte IES Virgen de las Nieves,,37.1907824,-3.6174488,,,0,,,2,
5f551d47-73fc-476c-9be1-6099782567ff,163,Avda. Andalucía - Sindicatos,,37.1925497,-3.6221395,,,0,,,2,
816a923f-c079-4aa0-83fa-00f90a652e70,164,Avda. Andalucía - Parque Almunia,,37.1932451,-3.6240076,,,0,,,2,
8ce4a4c6-a9bd-4295-9e25-d413c7a3d510,165,Avda. Andalucía 91,,37.1932152,-3.6243832,,,0,,,2,
2a5222bb-78fd-4cc9-a038-21a7c18b4756,166,Avda. Andalucía -Facultad Bellas Artes,,37.1946554,-3.6270494,,,0,,,2,
dfb2597b-b2c5-448c-b93a-cc70c4d019a7,167,Avda. Andalucía 107,,37.1943648,-3.6268508,,,0,,,2,
60621d38-4e7b-4e7f-8b02-2cfdb745473c,168,Avda. Andalucía - Diputación,,37.1955912,-3.6290824,,,0,,,2,
5f143a73-c84a-4832-87c3-61508369cf11,169,Avda. Andalucía 121,,37.1954972,-3.6294794,,,0,,,2,
2b0ea4ca-5df2-468c-a53d-9fc84991b131,170,Avda. Argentinita 2,,37.196969,-3.6148362,,,0,,,2,
1920638d-94ca-4caa-913c-d7c1afd05090,171,Avda. Argentinita 3,,37.1959501,-3.6156052,,,0,,,2,
bdca9751-ad12-452f-9927-3437140e8a8c,172,Avda. América 1 - Colegio Caja Granada,,37.162415,-3.6010933,,,0,,,2,
83124d95-1404-4ec3-bcc3-7c399a7d7eba,173,Avda. América 8 - Centro Salud Zaidín,,37.1613169,-3.6002754,,,0,,,2,
218887b1-f5d9-464b-82f9-e41d66fb23a4,174,Ribera del Beiro 10- Mondragones,,37.1901281,-3.6106986,,,0,,,2,
fc962af9-a56a-4b8c-98f4-96528c7a11ad,175,Ribera del Beiro 26,,37.1914376,-3.6084079,,,0,,,2,
3ef09b55-3a46-454d-923b-4bb480fc1529,176,Avda. Cádiz 42,,37.1549696,-3.6038727,,,0,,,2,
3250ea6d-ced7-4559-aba8-fe1de6f106ac,178,Avda. Cervantes 6,,37.1656104,-3.5893589,,,0,,,2,
a4ae4320-ef46-44ff-8cfc-816f6297db60,179,Avda. Cervantes 1,,37.166565,-3.5899668,,,0,,,2,
84a7a36a-c29f-4005-9484-d8a20ba7370b,180,Avda. Madrid- Hospital Clínico,,37.1888055,-3.6050417,,,0,,,2,
219c58ac-2328-4001-8a24-8a37a9dc0546,182,Avda. Madrid 23,,37.190491,-3.6067257,,,0,,,2,
1bf8181c-406d-40c4-91f1-9866ecee43de,183,Avda. del Sur - Delegación Provincial de Salud,,37.1874062,-3.6119628,,,0,,,2,
b6d0a05e-940d-4502-9004-5f7c0c022e11,184,Avda. Dilar 134,,37.151492,-3.6012518,,,0,,,2,
3876221c-e1ce-4efd-966b-bdba5f7c65de,185,Avda. Dilar 109,,37.1527235,-3.6008442,,,0,,,2,
08c1062e-848c-4b88-bd54-eea5f735f282,186,Ctra. Dilar - Rotonda Avda. Ilustración,,37.1493991,-3.6020859,,,0,,,2,
f0eaa3bb-73af-4b72-9d38-2b24040f6a3a,187,Avda. Dílar 89,,37.1544893,-3.6005277,,,0,,,2,
1784e9e1-d710-40b3-a55a-9e876d3546fe,188,Avda. Dílar 94,,37.1541728,-3.600651,,,0,,,2,
5eb68d60-4af5-4fd1-91f0-d035f4aa921b,190,Avda. Dílar 71,,37.1563833,-3.600356,,,0,,,2,
11928881-fb0d-4995-ac6f-9bafbf8a63ab,191,Avda. Dílar 56,,37.1560412,-3.6004846,,,0,,,2,
d50aa591-7cbe-4105-a2da-f54d9f6dccb0,192,Avda. Dílar 14,,37.1598889,-3.5998356,,,0,,,2,
465ab24e-edea-4657-9438-4db908a5dadf,194,Avda. Dílar 26,,37.1584909,-3.5999642,,,0,,,2,
23b06c0c-7caf-4ebc-bd86-a46944d07712,195,Francisco Ayala 29,,37.1925956,-3.6164265,,,0,,,2,
1f5a82fe-bbc6-4c9f-a623-1bc30a93b313,196,Avda. Dílar 9,,37.1618214,-3.5992025,,,0,,,2,
f70af6b4-8c96-4bc6-bc55-067e0c180b3b,197,Avda. Dílar 10,,37.161847,-3.5992831,,,0,,,2,
143c8da6-8ef9-4dac-be7d-7665d58dedd4,198,Avda. Dílar 2,,37.1637964,-3.5979633,,,0,,,2,
