service_id,date,exception_type
1_874_1510_9_467_3,20261102,1
1_874_1510_9_467_3,20261207,1
1_874_1510_9_467_3,20261208,1
1_874_1510_9_467_3,20261225,1
1_874_1510_9_467_3,20260422,1
1_874_1510_9_467_3,20260604,1
1_874_1510_9_468_3,20260101,1
1_874_1510_9_468_3,20260106,1
1_874_1510_9_468_3,20260228,1
1_874_1510_9_468_3,20260402,1
1_874_1510_9_468_3,20260403,1
1_874_1510_9_468_3,20260501,1
1_874_1510_9_468_3,20260815,1
1_874_1510_9_468_3,20261212,1
1_874_1510_9_468_3,20261102,1
1_874_1510_9_468_3,20261207,1
1_874_1510_9_468_3,20261208,1
1_874_1510_9_468_3,20261225,1
1_874_1510_9_468_3,20260422,1
1_874_1510_9_468_3,20260604,1
1_877_1503_13_299_3,20260101,1
1_877_1503_13_299_3,20260106,1
1_877_1503_13_299_3,20260228,1
1_877_1503_13_299_3,20260402,1
1_877_1503_13_299_3,20260403,1
1_877_1503_13_299_3,20260501,1
1_877_1503_13_299_3,20260815,1
1_877_1503_13_299_3,20261212,1
1_877_1503_13_299_3,20261102,1
1_877_1503_13_299_3,20261207,1
1_877_1503_13_299_3,20261208,1
1_877_1503_13_299_3,20261225,1
1_877_1503_13_299_3,20260422,1
1_877_1503_13_299_3,20260604,1
1_877_1503_13_448_3,20260101,1
1_877_1503_13_448_3,20260106,1
1_877_1503_13_448_3,20260228,1
1_877_1503_13_448_3,20260402,1
1_877_1503_13_448_3,20260403,1
1_877_1503_13_448_3,20260501,1
1_877_1503_13_448_3,20260815,1
1_877_1503_13_448_3,20261212,1
1_877_1503_13_448_3,20261102,1
1_877_1503_13_448_3,20261207,1
1_877_1503_13_448_3,20261208,1
1_877_1503_13_448_3,20261225,1
1_877_1503_13_448_3,20260422,1
1_877_1503_13_448_3,20260604,1
1_880_1286_6_232_3,20260101,1
1_880_1286_6_232_3,20260106,1
1_880_1286_6_232_3,20260228,1
1_880_1286_6_232_3,20260402,1
1_880_1286_6_232_3,20260403,1
1_880_1286_6_232_3,20260501,1
1_880_1286_6_232_3,20260815,1
1_880_1286_6_232_3,20261212,1
1_880_1286_6_232_3,20261102,1
1_880_1286_6_232_3,20261207,1
1_880_1286_6_232_3,20261208,1
1_880_1286_6_232_3,20261225,1
1_880_1286_6_232_3,20260422,1
1_880_1286_6_232_3,20260604,1
1_880_1290_6_425_3,20260101,1
1_880_1290_6_425_3,20260106,1
1_880_1290_6_425_3,20260228,1
1_880_1290_6_425_3,20260402,1
1_880_1290_6_425_3,20260403,1
1_880_1290_6_425_3,20260501,1
1_880_1290_6_425_3,20260815,1
1_880_1290_6_425_3,20261212,1
