stop_id,stop_name,stop_lat,stop_lon
1_2194,"Urb La Hispalense (I)",37.31025355226182,-6.1040908098220825
1_2195,"Urb La Hispalense",37.31042208555617,-6.103980839252472
1_2196,"Golegio",37.30965408267208,-6.109347939491272
1_2197,"Colegio",37.309550615017216,-6.109349280595779
1_2200,"Rtda Circunvalacion",37.30735556,-6.1151161111
1_2201,"Rtda Entrada (V)",37.310767684294504,-6.100260615348816
1_2202,"Rtda Entrada",37.3104,-6.100366667
1_2203,"C Ventorro Ambulatorio",37.302859,-6.247128
1_2204,"C F Garcia Lorca (Los Bucaros)",37.30578333,-6.246919444
1_2205,"Camino De Acceso A La Estacion",37.30485,-6.265191667
1_2206,"Urb Los Naranjos",37.30478276,-6.268415
1_2207,"Plaza Del Cabildo (Ayuntamiento)",37.303767,-6.251173
